Student_ID,Group,Clarity,Completeness,Consistency,Structure,Stakeholder,Critical_Eval
S001,Control,3.75,3.36,3.89,3.96,4.04,3.84
S002,Control,4.07,3.63,3.56,3.66,3.98,3.78
S003,Control,3.67,2.83,3.18,3.33,3.85,3.98
S004,Control,3.33,2.98,4.14,3.43,4.12,3.54
S005,Control,3.44,3.43,3.35,3.61,3.95,3.83
S006,Control,3.42,3.96,3.7,3.18,4.31,3.59
S007,Control,3.66,2.81,3.3,3.56,4.28,3.94
S008,Control,3.57,3.31,3.26,3.28,3.98,4.16
S009,Control,3.7,2.87,3.8,3.38,3.93,4.05
S010,Control,3.91,3.68,3.45,3.41,4.18,4.14
S011,Control,3.46,3.34,3.37,3.14,4.3,4.24
S012,Control,3.58,3.7,3.81,3.31,4.19,4.28
S013,Control,3.59,3.87,2.91,3.75,4.12,3.83
S014,Control,3.63,2.8,3.63,3.61,4.47,3.77
S015,Control,3.36,3.25,3.97,3.6,3.97,4.03
S016,Control,3.63,3.69,3.49,3.4,4.0,3.53
S017,Control,3.69,3.48,3.7,3.43,3.75,3.79
S018,Control,3.5,3.16,3.65,3.62,4.57,3.94
S019,Control,3.68,3.38,3.12,3.49,4.12,4.52
S020,Control,3.54,3.49,3.69,3.15,4.39,4.09
S021,Control,3.84,3.13,4.12,3.08,4.25,4.45
S022,Control,3.3,3.23,3.73,3.35,3.71,3.92
S023,Control,3.28,3.54,3.42,3.96,3.9,3.82
S024,Control,3.84,3.03,3.77,3.89,3.7,3.95
S025,AI,4.38,4.43,3.93,4.0,4.33,4.27
S026,AI,4.38,4.3,4.1,4.47,4.27,4.02
S027,AI,4.86,4.34,3.94,4.6,3.96,4.4
S028,AI,4.65,3.95,4.59,4.52,4.41,4.67
S029,AI,4.23,3.97,4.03,4.16,4.18,4.29
S030,AI,4.38,4.45,4.3,4.84,4.13,4.88
S031,AI,4.49,3.94,3.98,4.54,4.14,4.38
S032,AI,4.44,4.18,4.05,3.95,4.09,4.41
S033,AI,4.36,3.83,4.35,4.52,3.98,4.24
S034,AI,4.32,3.86,4.41,4.57,4.47,4.46
S035,AI,3.89,3.92,4.45,4.55,4.33,5.16
S036,AI,4.47,4.54,4.59,4.6,4.12,4.39
S037,AI,4.07,4.13,4.15,4.42,4.78,3.73
S038,AI,4.51,3.72,4.16,4.73,4.22,3.93
S039,AI,4.09,4.4,4.08,4.46,4.21,4.04
S040,AI,4.94,4.39,3.69,4.46,4.03,4.41
S041,AI,4.06,4.17,4.45,4.66,3.9,4.12
S042,AI,4.16,4.0,4.83,4.52,3.88,4.43
S043,AI,4.94,4.51,3.84,4.25,4.52,4.02
S044,AI,4.43,4.43,4.02,4.38,3.39,3.94
S045,AI,4.22,3.83,4.79,3.97,4.09,4.23
S046,AI,4.73,3.77,4.65,4.4,3.95,4.32
S047,AI,4.36,4.02,4.32,4.28,4.23,4.37
S048,AI,4.78,3.83,4.94,3.81,4.16,4.35
